animal_id,nombre_cientifico,grupo/animal,familia,tipo,Nombre común,categoria/extincion
10762,Calotriton arnoldi,ANFIBIOS,CAUDATA,Salamandridae,Tritón del Montseny,En peligro de extinción
10769,Calotriton (Euproctus) asper,ANFIBIOS,CAUDATA,Salamandridae,Tritón pirenaico,LESRPE
11632,Chioglossa lusitanica,ANFIBIOS,CAUDATA,Salamandridae,Salamandra rabilarga,Vulnerable
10729,Lissotriton boscai (antes Triturus boscai),ANFIBIOS,CAUDATA,Salamandridae,Tritón ibérico,LESRPE
11431,Lissotriton helveticus (antes Triturus helveticus),ANFIBIOS,CAUDATA,Salamandridae,Tritón palmeado,LESRPE
33080,Mesotriton alpestris (antes Triturus alpestris),ANFIBIOS,CAUDATA,Salamandridae,Tritón alpino,Vulnerable
12420,Pleurodeles waltl,ANFIBIOS,CAUDATA,Salamandridae,Gallipato,LESRPE
10667,Salamandra algira  ,ANFIBIOS,CAUDATA,Salamandridae,Salamandra norteafricana,Vulnerable
11677,Triturus marmoratus,ANFIBIOS,CAUDATA,Salamandridae,Tritón jaspeado,LESRPE
12051,Triturus pygmaeus ,ANFIBIOS,CAUDATA,Salamandridae,Tritón pigmeo,LESRPE
10909,Alytes cisternasii,ANFIBIOS,ANURA,Alytidae,Sapo partero ibérico,LESRPE
11158,Alytes dickhilleni ,ANFIBIOS,ANURA,Alytidae,Sapo partero bético,Vulnerable
11790,Alytes muletensis,ANFIBIOS,ANURA,Alytidae,Ferreret,En peligro de extinción
11878,Alytes obstetricans,ANFIBIOS,ANURA,Alytidae,Sapo partero común,LESRPE
11332,Discoglossus galganoi,ANFIBIOS,ANURA,Alytidae,Sapillo pintojo ibérico,LESRPE
24211,Discoglossus jeanneae,ANFIBIOS,ANURA,Alytidae,Sapillo pintojo meridional,LESRPE
11985,Discoglossus pictus,ANFIBIOS,ANURA,Alytidae,Sapillo pintojo mediterráneo,LESRPE
24327,Bufo calamita,ANFIBIOS,ANURA,Bufonidae,Sapo corredor,LESRPE
16220,Bufo balearicus (= Bufo viridis),ANFIBIOS,ANURA,Bufonidae,Sapo verde balear,LESRPE
16222,Hyla arborea,ANFIBIOS,ANURA,Hylidae,Ranita de San Antón,LESRPE
11717,Hyla meridionalis  ,ANFIBIOS,ANURA,Hylidae,Ranita meridional,LESRPE
11108,Pelobates cultripes,ANFIBIOS,ANURA,Pelobatidae,Sapo de espuelas,LESRPE
11490,Pelodytes ibericus (antes P. punctatus),ANFIBIOS,ANURA,Pelodytidae,Sapillo moteado ibérico,LESRPE
12037,Pelodytes punctatus,ANFIBIOS,ANURA,Pelodytidae,Sapillo moteado común,LESRPE
11128,Rana dalmatina,ANFIBIOS,ANURA,Ranidae,Rana ágil,Vulnerable
11485,Rana iberica ,ANFIBIOS,ANURA,Ranidae,Rana patilarga,LESRPE
12056,Rana pyrenaica,ANFIBIOS,ANURA,Ranidae,Rana pirenaica,Vulnerable
12298,Rana temporaria,ANFIBIOS,ANURA,Ranidae,Rana bermeja,LESRPE
