animal_id,nombre_cientifico,grupo/animal,familia,tipo,Nombre común,categoria/extincion
13998,Gavia arctica,AVES,GAVIIFORMES,Gaviidae,Colimbo artico,LESRPE
14000,Gavia immer,AVES,GAVIIFORMES,Gaviidae,Colimbo grande,LESRPE
13997,Gavia stellata,AVES,GAVIIFORMES,Gaviidae,Colimbo chico,LESRPE
14003,Podiceps auritus,AVES,PODICIPEDIFORMES,Podicipedidae,Zampullin cuellirrojo,LESRPE
14001,Podiceps cristatus,AVES,PODICIPEDIFORMES,Podicipedidae,Somormujo lavanco,LESRPE
14004,Podiceps nigricollis,AVES,PODICIPEDIFORMES,Podicipedidae,Zampullin cuellinegro,LESRPE
12121,Tachybaptus ruficollis,AVES,PODICIPEDIFORMES,Podicipedidae,Zampullin comun,LESRPE
14010,Bulweria bulwerii,AVES,PROCELLARIIFORMES,Procellariidae,Petrel de Bulwer,LESRPE
32348,Calonectris borealis,AVES,PROCELLARIIFORMES,Procellariidae,Pardela cenicienta atlantica,LESRPE
11166,Calonectris diomedea diomedea,AVES,PROCELLARIIFORMES,Procellariidae,Pardela cenicienta,Vulnerable
14006,Fulmarus glacialis,AVES,PROCELLARIIFORMES,Procellariidae,Fulmar boreal,LESRPE
14019,Puffinus assimilis ,AVES,PROCELLARIIFORMES,Procellariidae,Pardela chica,Vulnerable
33031,Puffinus gravis,AVES,PROCELLARIIFORMES,Procellariidae,Pardela capirotada,LESRPE
33032,Puffinus griseus,AVES,PROCELLARIIFORMES,Procellariidae,Pardela sombria,LESRPE
11691,Puffinus mauretanicus,AVES,PROCELLARIIFORMES,Procellariidae,Pardela balear,En peligro de extincion
12029,Puffinus puffinus,AVES,PROCELLARIIFORMES,Procellariidae,Pardela pichoneta,Vulnerable
12433,Puffinus yelkouan,AVES,PROCELLARIIFORMES,Procellariidae,Pardela mediterranea,LESRPE
14023,Hydrobates pelagicus,AVES,PROCELLARIIFORMES,Hydrobatidae,Paino europeo,LESRPE
33016,Oceanodroma castro,AVES,PROCELLARIIFORMES,Hydrobatidae,Paino de Madeira,Vulnerable
33149,Oceanodroma leucorhoa,AVES,PROCELLARIIFORMES,Hydrobatidae,Paino boreal,LESRPE
14021,Pelagodroma marina,AVES,PROCELLARIIFORMES,Hydrobatidae,"Paino pechialbo, Bailarin",Vulnerable
79207,Phaethon aethereus mesonauta,AVES,PHAETONTIFORMES,Phaetontidae,Rabijunco etereo,LESRPE
80933,Phalacrocorax aristotelis  ,AVES,PELECANIFORMES,Phalacrocoridae,Cormoran monudo,Vulnerable
14031,Morus bassanus,AVES,PELECANIFORMES,Sulidae,Alcatraz atlantico,LESRPE
10896,Ardea cinerea,AVES,CICONIFORMES,Ardeidae,Garza real,LESRPE
12041,Ardea purpurea,AVES,CICONIFORMES,Ardeidae,Garza imperial,LESRPE
12081,Ardeola ralloides  ,AVES,CICONIFORMES,Ardeidae,Garcilla cangrejera,Vulnerable
11496,Bubulcus ibis,AVES,CICONIFORMES,Ardeidae,Garcilla bueyera,LESRPE
12243,Botaurus stellaris  ,AVES,CICONIFORMES,Ardeidae,Avetoro comun,En peligro de extincion
23748,Egretta alba,AVES,CICONIFORMES,Ardeidae,Garceta grande,LESRPE
11340,Egretta garzetta,AVES,CICONIFORMES,Ardeidae,Garceta comun,LESRPE
11750,Ixobrychus minutus,AVES,CICONIFORMES,Ardeidae,Avetorillo comun,LESRPE
11870,Nycticorax nycticorax,AVES,CICONIFORMES,Ardeidae,Martinete comun,LESRPE
10891,Ciconia ciconia,AVES,CICONIFORMES,Ciconidae,Ciguena blanca,LESRPE
11841,Ciconia nigra  ,AVES,CICONIFORMES,Ciconidae,Ciguena negra,Vulnerable
16288,Geronticus eremita,AVES,CICONIFORMES,Threskiornithidae,Ibis eremita,LESRPE
11590,Platalea leucorodia,AVES,CICONIFORMES,Threskiornithidae,Espatula comun,LESRPE
11247,Plegadis falcinellus,AVES,CICONIFORMES,Threskiornithidae,Morito comun,LESRPE
12107,Phoenicopterus (ruber) roseus,AVES,PHOENICOPTERIFORMES,Phoenicopteridae,Flamenco comun,LESRPE
16270,Aythya marila,AVES,ANSERIFORMES,Anatidae,Porron bastardo,LESRPE
11871,Aythya nyroca  ,AVES,ANSERIFORMES,Anatidae,Porron pardo,En peligro de extincion
16260,Branta bernicla,AVES,ANSERIFORMES,Anatidae,Barnacla carinegra,LESRPE
16259,Branta leucopsis,AVES,ANSERIFORMES,Anatidae,Barnacla cariblanca,LESRPE
13992,Bucephala clangula,AVES,ANSERIFORMES,Anatidae,Porron osculado,LESRPE
10699,Marmaronetta angustirostris,AVES,ANSERIFORMES,Anatidae,Cerceta pardilla,En peligro de extincion
