animal_id,nombre_cientifico,grupo/animal,familia,tipo,Nombre común,categoria/extincion
10669,Atelerix algirus ,MAMIFEROS,ERINACEOMORPHA,Erinaceidae,Erizo moruno,LESRPE
10948,Crocidura canariensis,MAMIFEROS,SORICOMORPHA,Soricidae,Musarana canaria,Vulnerable
12059,Galemys pyrenaicus,MAMIFEROS,SORICOMORPHA,Talpidae,Desman iberico,En peligro de extincion
11230,Rhinolophus euryale ,MAMIFEROS,CHIROPTERA,Rhinolophidae,Murcielago mediterrraneo de herradura,Vulnerable
11264,Rhinolophus ferrumequinum ,MAMIFEROS,CHIROPTERA,Rhinolophidae,Murcielago grande de herradura,Vulnerable
11451,Rhinolophus hipposideros,MAMIFEROS,CHIROPTERA,Rhinolophidae,Murcielago pequeno de herradura,LESRPE
11702,Rhinolophus mehelyi ,MAMIFEROS,CHIROPTERA,Rhinolophidae,Murcielago mediano de herradura,Vulnerable
10820,Barbastella barbastellus,MAMIFEROS,CHIROPTERA,Vespertilionidae,"Murcielago de bosque, Barbastela",LESRPE
16225,Eptesicus isabellinus(antes E. serotinus),MAMIFEROS,CHIROPTERA,Vespertilionidae,"Murcielago hortelano mediterraneo, Murcielago hortelano pardo",LESRPE
12197,Eptesicus serotinus,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago hortelano,LESRPE
12154,Hypsugo savii,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago montanero,LESRPE
10661,Myotis alcathoe (= M. mystacinus),MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago ratonero bigotudo pequeno,LESRPE
10826,Myotis bechsteinii ,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago ratonero forestal,Vulnerable
10866,Myotis blythii ,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago ratonero mediano,Vulnerable
10958,Myotis capaccinii,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago ratonero patudo,En peligro de extincion
11131,Myotis daubentonii,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago ratonero ribereno,LESRPE
11206,Myotis emarginatus  ,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago de Geoffroy o de oreja partida,Vulnerable
11803,Myotis myotis ,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago ratonero grande,Vulnerable
11805,Myotis mystacinus ,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago ratonero bigotudo,Vulnerable
16227,Myotis nattereri (=M. escalerai),MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago de Natterer,LESRPE
12040,Myotis punicus,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago ratonero moruno,LESRPE
11566,Nyctalus lasiopterus ,MAMIFEROS,CHIROPTERA,Vespertilionidae,Noctulo grande,Vulnerable
11573,Nyctalus leisleri,MAMIFEROS,CHIROPTERA,Vespertilionidae,Noctulo pequeno,LESRPE
11862,Nyctalus noctula  ,MAMIFEROS,CHIROPTERA,Vespertilionidae,Noctulo mediano ,Vulnerable
11550,Pipistrellus kuhlii,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago de borde claro,LESRPE
11646,Pipistrellus maderensis,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcialago de Madeira,LESRPE
11814,Pipistrellus nathusii,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago de Nathusius,LESRPE
11991,Pipistrellus pipistrellus,MAMIFEROS,CHIROPTERA,Vespertilionidae,Muercielago comun,LESRPE
12050,Pipistrellus pygmaeus (antes P. pipistrellus),MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago de Cabrera,LESRPE
10715,Plecotus auritus,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago orejudo dorado o septentrional,LESRPE
10799,Plecotus austriacus,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago orejudo gris o meridional,LESRPE
11641,Plecotus macrobullaris,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago orejudo alpino,LESRPE
12303,Plecotus teneriffae,MAMIFEROS,CHIROPTERA,Vespertilionidae,Murcielago orejudo canario,Vulnerable
12169,Miniopterus schreibersii  ,MAMIFEROS,CHIROPTERA,Miniopteridae,Murcielago de cueva,Vulnerable
12305,Tadarida teniotis,MAMIFEROS,CHIROPTERA,Molossidae,Murcielago rabudo,LESRPE
16233,Castor fiber,MAMIFEROS,RODENTIA,Castoridae,Castor europeo,LESRPE
11792,Eliomys munbyanus,MAMIFEROS,RODENTIA,Gliridae,Liron careto magrebi,LESRPE
16235,Iberomys (Microtus) cabrerae,MAMIFEROS,RODENTIA,Cricetidae,"Iberon,Topillo de Cabrera",Vulnerable
11627,Canis lupus,MAMIFEROS,CARNIVORA,Canidae,Lobo,LESRPE
10755,Ursus arctos,MAMIFEROS,CARNIVORA,Ursidae,Oso pardo,En peligro de extincion
11637,Lutra lutra,MAMIFEROS,CARNIVORA,Mustelidae,Nutria,LESRPE
11214,Mustela erminea,MAMIFEROS,CARNIVORA,Mustelidae,Armino,LESRPE
11638,Mustela lutreola,MAMIFEROS,CARNIVORA,Mustelidae,Vison europeo,En peligro de extincion
12214,Felis silvestris,MAMIFEROS,CARNIVORA,Felidae,Gato montes ,LESRPE
11943,Lynx pardinus,MAMIFEROS,CARNIVORA,Felidae,Lince iberico,En peligro de extincion
11767,Monachus monachus,MAMIFEROS,CARNIVORA,Phocidae,Foca monje del Mediterraneo,En peligro de extincion
32175,Balaenoptera acutorostrata,MAMIFEROS,CETACEA,Balaenopteridae,Rorcual aliblanco,Vulnerable
