animal_id,nombre_cientifico,grupo/animal,familia,tipo,Nombre común,categoria/extincion
11903,Emys orbicularis,REPTILES,CHELONIA,Emydidae,Galápago europeo,Vulnerable
11385,Testudo graeca,REPTILES,CHELONIA,Testudinidae,Tortuga mora,Vulnerable
11434,Testudo hermanni,REPTILES,CHELONIA,Testudinidae,Tortuga mediterránea,En peligro de extinción
11585,Mauremys leprosa,REPTILES,CHELONIA,Geoemydidae,Galápago leproso,LESRPE
10970,Caretta caretta ,REPTILES,CHELONIA,Cheloniidae,Tortuga boba,Vulnerable
11801,Chelonia mydas,REPTILES,CHELONIA,Cheloniidae,Tortuga verde,LESRPE
11505,Eretmochelys imbricata,REPTILES,CHELONIA,Cheloniidae,Tortuga carey,LESRPE
11545,Lepidochelys kempii,REPTILES,CHELONIA,Cheloniidae,Tortuga golfina,LESRPE
16213,Lepidochelys olivacea,REPTILES,CHELONIA,Cheloniidae,Tortuga olivácea,LESRPE
20100,Dermochelys coriacea,REPTILES,CHELONIA,Dermochelyidae,Tortuga laúd,LESRPE
10883,Chamaeleo chamaeleon,REPTILES,SAURIA,Chamaeleonidae,Camaleón común,LESRPE
12351,Hemidactylus turcicus ,REPTILES,SAURIA,Gekkonidae,Salamanquesa rosada,LESRPE
10695,Tarentola angustimentalis,REPTILES,SAURIA,Phyllodactylidae,Perenquén majorero,LESRPE
10870,Tarentola boettgeri,REPTILES,SAURIA,Phyllodactylidae,Perenquén de Gran Canaria,LESRPE
11141,Tarentola delalandii,REPTILES,SAURIA,Phyllodactylidae,Perenquén común,LESRPE
11379,Tarentola gomerensis,REPTILES,SAURIA,Phyllodactylidae,Perenquén gomero ó Pracan,LESRPE
11692,Tarentola mauritanica,REPTILES,SAURIA,Phyllodactylidae,Salamanquesa común,LESRPE
10827,Chalcides bedriagai,REPTILES,SAURIA,Scincidae,Eslizón ibérico,LESRPE
11058,Chalcides colosii,REPTILES,SAURIA,Scincidae,Eslizón rifeño,LESRPE
12025,Chalcides pseudostriatus,REPTILES,SAURIA,Scincidae,Eslizón tridáctilo del Atlas,LESRPE
12202,Chalcides sexlineatus,REPTILES,SAURIA,Scincidae,Lisa grancanaria,LESRPE
12218,Chalcides simonyi,REPTILES,SAURIA,Scincidae,Lisneja,Vulnerable
12254,Chalcides striatus (antes Chalcides chalcides),REPTILES,SAURIA,Scincidae,Eslizón tridáctilo,LESRPE
12399,Chalcides viridanus,REPTILES,SAURIA,Scincidae,Lisa dorada,LESRPE
11220,Acanthodactylus erythrurus,REPTILES,SAURIA,Lacertidae,Lagartija colirroja,LESRPE
11660,Algyroides marchi,REPTILES,SAURIA,Lacertidae,Lagartija de Valverde,Vulnerable
10785,Gallotia atlantica,REPTILES,SAURIA,Lacertidae,Lagarto atlántico ,LESRPE
10875,Gallotia gomerana  ,REPTILES,SAURIA,Lacertidae,Lagarto gigante de La Gomera,En peligro de extinción
24239,Gallotia galloti insulanagae,REPTILES,SAURIA,Lacertidae,Lagarto tizón ,Vulnerable
11516,Gallotia intermedia ,REPTILES,SAURIA,Lacertidae,Lagarto gigante de Tenerife,En peligro de extinción
12219,Gallotia simonyi  ,REPTILES,SAURIA,Lacertidae,Lagarto gigante de El Hierro,En peligro de extinción
12242,Gallotia stehlini,REPTILES,SAURIA,Lacertidae,Lagarto gigante de Gran Canaria,LESRPE
10748,Iberolacerta aranica (antes Lacerta aranica),REPTILES,SAURIA,Lacertidae,Lagartija aranesa,En peligro de extinción
10712,Iberolacerta aurelioi (antes Lacerta aurelioi),REPTILES,SAURIA,Lacertidae,Lagartija pallaresa,En peligro de extinción
10726,Iberolacerta bonnali (antes Lacerta bonnali),REPTILES,SAURIA,Lacertidae,Lagartija pirenaica,Vulnerable
11123,Iberolacerta cyreni,REPTILES,SAURIA,Lacertidae,Lagartija carpetana,LESRPE
11330,Iberolacerta galani (antes incluida en Iberolacerta monticola),REPTILES,SAURIA,Lacertidae,Lagartija leonesa,Vulnerable
11682,Iberolacerta martinezricai,REPTILES,SAURIA,Lacertidae,Lagartija batueca,En peligro de extinción
11779,Iberolacerta monticola (antes Lacerta monticola) ,REPTILES,SAURIA,Lacertidae,Lagartija serrana,LESRPE
11034,Lacerta agilis,REPTILES,SAURIA,Lacertidae,Lagarto ágil,En peligro de extinción
10852,Lacerta bilineata (=Lacerta viridis bilineata),REPTILES,SAURIA,Lacertidae,Lagarto verde,LESRPE
12168,Lacerta schreiberi,REPTILES,SAURIA,Lacertidae,Lagarto verdinegro,LESRPE
12385,Podarcis vaucheri (antes Podarcis hispanica),REPTILES,SAURIA,Lacertidae,Lagartija andaluza,LESRPE
11596,Podarcis lilfordi,REPTILES,SAURIA,Lacertidae,Lagartija balear,LESRPE
11794,Podarcis muralis,REPTILES,SAURIA,Lacertidae,Lagartija roquera,LESRPE
11995,Podarcis pityusensis,REPTILES,SAURIA,Lacertidae,Lagartija de las Pitiusas,LESRPE
12208,Podarcis sicula,REPTILES,SAURIA,Lacertidae,Lagartija italiana,LESRPE
10670,Psammodromus algirus,REPTILES,SAURIA,Lacertidae,Lagartija colilarga,LESRPE
11461,Psammodromus hispanicus,REPTILES,SAURIA,Lacertidae,Lagartija cenicienta,LESRPE
11582,Timon lepidus (antes Lacerta lepida),REPTILES,SAURIA,Lacertidae,Lagarto ocelado,LESRPE
12291,Timon tangitanus (antes Lacerta tangitana),REPTILES,SAURIA,Lacertidae,Lagarto ocelado del Atlas,LESRPE
12411,Zootoca vivipara,REPTILES,SAURIA,Lacertidae,Lagartija de turbera,LESRPE
11301,Anguis fragilis ,REPTILES,SAURIA,Anguidae,Lución,LESRPE
10901,Blanus cinereus,REPTILES,SAURIA,Blanidae,Culebrilla ciega ,LESRPE
12320,Blanus tingitanus,REPTILES,SAURIA,Blanidae,Culebrilla ciega de Tánger,LESRPE
12426,Trogonophis wiegmanni elegans ,REPTILES,SAURIA,Trogonophidae,Culebrilla mora,LESRPE
10718,Coronella austriaca,REPTILES,OPHIDIA,Colubridae,Culebra lisa europea,LESRPE
11362,Coronella girondica ,REPTILES,OPHIDIA,Colubridae,Culebra lisa meridional,LESRPE
11448,Hemorrhois hippocrepis (antes Coluber hippocrepis),REPTILES,OPHIDIA,Colubridae,Culebra de herradura,LESRPE
12402,Hierophis viridiflavus (antes Coluber viridiflavus) ,REPTILES,OPHIDIA,Colubridae,Culebra verdiamarilla,LESRPE
10913,Macroprotodon brevis (antes M. cucullatus),REPTILES,OPHIDIA,Colubridae,Culebra de cogulla occidental,LESRPE
11696,Macroprotodon mauritanicus (antes M. cucullatus),REPTILES,OPHIDIA,Colubridae,Culebra de cogulla oriental,LESRPE
11688,Natrix maura  ,REPTILES,OPHIDIA,Colubridae,Culebra viperina,LESRPE
11815,Natrix natrix,REPTILES,OPHIDIA,Colubridae,Culebra de collar,LESRPE
11616,Zamenis longissimus (antes Elaphe longissima) ,REPTILES,OPHIDIA,Colubridae,Culebra de Esculapio,LESRPE
33095,Rhinechis scalaris (antes Elaphe scalaris),REPTILES,OPHIDIA,Colubridae,Culebra de escalera,LESRPE
11567,Vipera latastei,REPTILES,OPHIDIA,Viperidae,Víbora hocicuda,LESRPE
