animal_id,nombre_cientifico,grupo/animal,familia,tipo,Nombre_comun,categoria/extincion
12397,Limoniscus violaceus,INVERTEBRADOS,INSECTA,Coleoptera,Escarabajo resorte,Vulnerable
11397,Pimelia granulicollis ,INVERTEBRADOS,INSECTA,Coleoptera,Pimelia de las arenas,En peligro de extincion
68797,Rhopalomesites euphorbiae,INVERTEBRADOS,INSECTA,Coleoptera,Picudo de la tabaiba de monte,En peligro de extincion
32345,Euchloe bazae,INVERTEBRADOS,INSECTA,Lepidoptera,"Azufrada iberca, Blanquiverdosa azufrada",En peligro de extincion
11818,Maculinea nausithous,INVERTEBRADOS,INSECTA,Lepidoptera,Hormiguera oscura,Vulnerable
11378,Polyommatus golgus,INVERTEBRADOS,INSECTA,Lepidoptera,Nina de Sierra Nevada,En peligro de extincion
12236,Macromia splendens,INVERTEBRADOS,INSECTA,Odonata,Libelula,En peligro de extincion
24263,Ophiogomphus cecilia,INVERTEBRADOS,INSECTA,Odonata,Libelula,En peligro de extincion
11115,Oxygastra curtisii,INVERTEBRADOS,INSECTA,Odonata,Libelula,Vulnerable
11224,Acrostira euphorbiae,INVERTEBRADOS,INSECTA,Orthoptera,Cigarron palo palmero,En peligro de extincion
12085,Maiorerus randoi,INVERTEBRADOS,ARACNIDA,Phalangodidae,Opilion cavernicola majorero,En peligro de extincion
22589,Charonia lampas lampas ,INVERTEBRADOS,GASTROPODA,,Caracola,Vulnerable
22590,Charonia tritonis variegata ,INVERTEBRADOS,GASTROPODA,,Bucio,LESRPE
70515,Patella candei candei,INVERTEBRADOS,GASTROPODA,,Lapa majorera,En peligro de extincion
22057,Patella ferruginea,INVERTEBRADOS,GASTROPODA,,Lapa ferruginea,En peligro de extincion
22763,Tonna galea ,INVERTEBRADOS,GASTROPODA,,Tonel,LESRPE
36475,Tritia tingitana,INVERTEBRADOS,GASTROPODA,,Caracolilla de Tanger,Vulnerable
21446,Pinna nobilis,INVERTEBRADOS,BIVALVIA,Pinnidae,Nacra comun,En peligro de extincion
10713,Margaritifera auricularia,INVERTEBRADOS,BIVALVIA,Unionoida,Margaritona,En peligro de extincion
11662,Margaritifera margaritifera,INVERTEBRADOS,BIVALVIA,Unionoida,"Nayade de rio, Madreperla de rio",En peligro de extincion
11658,Unio mancus,INVERTEBRADOS,BIVALVIA,Unionoida,Nayade mediterranea,Vulnerable
12350,Unio tumidiformis,INVERTEBRADOS,BIVALVIA,Unionoida,Nayade tumida,Vulnerable
24297,Unio ravoisieri (antes U. elongatulus),INVERTEBRADOS,BIVALVIA,Unionoida,Nayade del noroeste,En peligro de extincion
20864,Asterina pancerii,INVERTEBRADOS,ECHINODERMATA,,Estrella del capitan pequena,LESRPE
20878,Ophidiaster ophidianus,INVERTEBRADOS,ECHINODERMATA,,Estrella purpura,LESRPE
20276,Antipathella subpinnata,INVERTEBRADOS,CNIDARIA,Anthozoa,Coral negro,LESRPE
20266,Antipathes dichotoma,INVERTEBRADOS,CNIDARIA,Anthozoa,Coral negro ramificado,LESRPE
20350,Astroides calycularis ,INVERTEBRADOS,CNIDARIA,Anthozoa,Coral naranja,Vulnerable
20259,Callogorgia verticillata,INVERTEBRADOS,CNIDARIA,Anthozoa,Gorgonia abanico,LESRPE
20374,Cladocora caespitosa,INVERTEBRADOS,CNIDARIA,Anthozoa,Madrepora mediterranea,LESRPE
20375,Cladocora debilis,INVERTEBRADOS,CNIDARIA,Anthozoa,Coralito debil,LESRPE
20219,Ellisella paraplexauroides,INVERTEBRADOS,CNIDARIA,Anthozoa,Gorgonia candelabro,LESRPE
20274,Leiopathes glaberrima,INVERTEBRADOS,CNIDARIA,Anthozoa,Coral negro anaranjado,LESRPE
34803,Lophelia pertusa,INVERTEBRADOS,CNIDARIA,Anthozoa,Coral blanco duro,LESRPE
20372,Madrepora oculata,INVERTEBRADOS,CNIDARIA,Anthozoa,Coral blando fragil ,LESRPE
20283,Parantipathes larix,INVERTEBRADOS,CNIDARIA,Anthozoa,Coral negro mediterraneo,LESRPE
32347,Sarcotragus foetidus,INVERTEBRADOS,PORIFERA,,Esponja negra,LESRPE
10762,Calotriton arnoldi,ANFIBIOS,CAUDATA,Salamandridae,Triton del Montseny,En peligro de extincion
10769,Calotriton (Euproctus) asper,ANFIBIOS,CAUDATA,Salamandridae,Triton pirenaico,LESRPE
11632,Chioglossa lusitanica,ANFIBIOS,CAUDATA,Salamandridae,Salamandra rabilarga,Vulnerable
10729,Lissotriton boscai (antes Triturus boscai),ANFIBIOS,CAUDATA,Salamandridae,Triton iberico,LESRPE
11431,Lissotriton helveticus (antes Triturus helveticus),ANFIBIOS,CAUDATA,Salamandridae,Triton palmeado,LESRPE
33080,Mesotriton alpestris (antes Triturus alpestris),ANFIBIOS,CAUDATA,Salamandridae,Triton alpino,Vulnerable
12420,Pleurodeles waltl,ANFIBIOS,CAUDATA,Salamandridae,Gallipato,LESRPE
10667,Salamandra algira  ,ANFIBIOS,CAUDATA,Salamandridae,Salamandra norteafricana,Vulnerable
11677,Triturus marmoratus,ANFIBIOS,CAUDATA,Salamandridae,Triton jaspeado,LESRPE
12051,Triturus pygmaeus ,ANFIBIOS,CAUDATA,Salamandridae,Triton pigmeo,LESRPE
10909,Alytes cisternasii,ANFIBIOS,ANURA,Alytidae,Sapo partero iberico,LESRPE
11158,Alytes dickhilleni ,ANFIBIOS,ANURA,Alytidae,Sapo partero betico,Vulnerable
11790,Alytes muletensis,ANFIBIOS,ANURA,Alytidae,Ferreret,En peligro de extincion
11878,Alytes obstetricans,ANFIBIOS,ANURA,Alytidae,Sapo partero comun,LESRPE
11332,Discoglossus galganoi,ANFIBIOS,ANURA,Alytidae,Sapillo pintojo iberico,LESRPE
24211,Discoglossus jeanneae,ANFIBIOS,ANURA,Alytidae,Sapillo pintojo meridional,LESRPE
11985,Discoglossus pictus,ANFIBIOS,ANURA,Alytidae,Sapillo pintojo mediterraneo,LESRPE
24327,Bufo calamita,ANFIBIOS,ANURA,Bufonidae,Sapo corredor,LESRPE
