Region_lin,Subpoblacion,Especie_lin,Hembras_reproductoras,Cachorros,machos/hembaras_no_repro,Total_ejemplares
Andalucia,Donana-Aljarafe,Lince iberico,25,27,56,108
Andalucia,Andujar-Cardena,Lince iberico,53,78,137,268
Andalucia,Guadalmellato,Lince iberico,14,6,20,40
Andalucia,Guarrizas,Lince iberico,29,61,77,167
Andalucia,Sierra Arana,Lince iberico,0,1,4,5
Andalucia,Setefilla,Lince iberico,1,4,4,9
Andalucia,Las Minas,Lince iberico,3,10,4,17
Andalucia,Guazurejos,Lince iberico,0,0,1,1
Andalucia,Pegalajar,Lince iberico,1,2,3,6
Andalucia,Alcaudete,Lince iberico,0,0,2,2
Extremadura,Matachel,Lince iberico,30,50,58,138
Extremadura,Ortiga,Lince iberico,3,2,18,23
Extremadura,Valdeciguenas,Lince iberico,1,0,7,8
Extremadura/Andalucia,Rio Sotillo,Lince iberico,0,0,3,3
Extremadura,Ibores,Lince iberico,1,4,4,9
Extremadura,Cornalvo,Lince iberico,0,0,3,3
Castilla-La Mancha,Campo de Montiel,Lince iberico,37,65,101,203
Castilla-La Mancha,Montes de Toledo,Lince iberico,53,107,112,272
Castilla-La Mancha/Andalucia,Guadalmez,Lince iberico,23,51,30,104
Extremadura,Valdecanas,Lince iberico,2,5,7,14
Extremadura,Monfrague,Lince iberico,0,0,1,1
Castilla-La Mancha,Albacete,Lince iberico,1,4,1,6
